Date,Amount,Category
2024-01-01,125.63,Snacks
2024-01-08,109.71,Groceries
2024-01-15,49.53,Utilities
2024-01-23,92.53,Snacks
2024-01-30,54.15,Groceries
2024-02-07,43.0,Entertainment
2024-02-14,283.42,Rent
2024-02-22,88.2,Healthcare
2024-02-29,193.8,Healthcare
2024-03-08,127.45,Entertainment
2024-03-15,141.59,Entertainment
2024-03-22,212.31,Snacks
2024-03-30,257.3,Utilities
2024-04-06,215.22,Utilities
2024-04-14,115.98,Groceries
2024-04-21,146.37,Groceries
2024-04-29,205.3,Snacks
2024-05-06,44.75,Groceries
2024-05-14,108.59,Entertainment
2024-05-21,120.13,Rent
2024-05-28,41.93,Snacks
2024-06-05,199.19,Rent
2024-06-12,104.33,Healthcare
2024-06-20,55.46,Groceries
2024-06-27,58.7,Healthcare
2024-07-05,229.63,Snacks
2024-07-12,102.74,Snacks
2024-07-20,67.97,Entertainment
2024-07-27,248.34,Utilities
2024-08-04,221.21,Utilities
2024-08-11,74.07,Rent
2024-08-18,197.14,Entertainment
2024-08-26,125.01,Utilities
2024-09-02,11.79,Snacks
2024-09-10,290.54,Healthcare
2024-09-17,107.4,Groceries
2024-09-25,201.78,Groceries
2024-10-02,235.77,Utilities
2024-10-10,86.11,Snacks
2024-10-17,56.98,Utilities
2024-10-24,177.2,Healthcare
2024-11-01,251.09,Rent
2024-11-08,278.5,Snacks
2024-11-16,226.73,Entertainment
2024-11-23,31.19,Entertainment
2024-12-01,165.87,Utilities
2024-12-08,98.81,Utilities
2024-12-16,160.55,Entertainment
2024-12-23,199.09,Entertainment
2024-12-31,136.8,Healthcare
