Date,Amount,Category
2024-01-01,3776.6,Paycheck
2024-01-08,2686.7,Bonus
2024-01-15,4621.08,Bonus
2024-01-23,3927.65,Paycheck
2024-01-30,3943.83,Paycheck
2024-02-07,407.11,Bonus
2024-02-14,1983.55,Bonus
2024-02-22,3563.48,Paycheck
2024-02-29,1633.7,Freelance
2024-03-08,952.07,Paycheck
2024-03-15,456.38,Bonus
2024-03-22,3639.71,Paycheck
2024-03-30,4510.37,Paycheck
2024-04-06,3869.1,Bonus
2024-04-14,4431.61,Paycheck
2024-04-21,3392.74,Paycheck
2024-04-29,3691.24,Paycheck
2024-05-06,2416.18,Bonus
2024-05-14,3095.83,Paycheck
2024-05-21,4858.87,Freelance
2024-05-28,4080.65,Paycheck
2024-06-05,3622.24,Paycheck
2024-06-12,2744.75,Freelance
2024-06-20,3673.37,Freelance
2024-06-27,1553.64,Freelance
2024-07-05,2247.83,Bonus
2024-07-12,2656.69,Bonus
2024-07-20,2244.39,Freelance
2024-07-27,651.98,Paycheck
2024-08-04,2194.41,Bonus
2024-08-11,4280.0,Freelance
2024-08-18,1459.67,Paycheck
2024-08-26,2847.99,Freelance
2024-09-02,3916.81,Freelance
2024-09-10,2240.56,Freelance
2024-09-17,4350.82,Freelance
2024-09-25,824.42,Paycheck
2024-10-02,3249.01,Paycheck
2024-10-10,3796.3,Bonus
2024-10-17,4717.11,Paycheck
2024-10-24,4616.27,Paycheck
2024-11-01,4977.63,Bonus
2024-11-08,2257.88,Freelance
2024-11-16,4064.25,Bonus
2024-11-23,3812.14,Bonus
2024-12-01,1059.71,Paycheck
2024-12-08,3962.86,Paycheck
2024-12-16,1115.18,Paycheck
2024-12-23,3059.19,Freelance
2024-12-31,3309.07,Bonus
