Date,Amount,Category
2024-01-01,196.4,Groceries
2024-01-08,238.79,Healthcare
2024-01-15,73.59,Rent
2024-01-23,186.67,Groceries
2024-01-30,113.49,Utilities
2024-02-07,114.69,Utilities
2024-02-14,267.71,Utilities
2024-02-22,179.32,Snacks
2024-02-29,272.75,Entertainment
2024-03-08,250.81,Rent
2024-03-15,134.81,Rent
2024-03-22,33.57,Snacks
2024-03-30,216.23,Rent
2024-04-06,61.38,Snacks
2024-04-14,139.49,Snacks
2024-04-21,192.58,Snacks
2024-04-29,260.81,Rent
2024-05-06,233.76,Snacks
2024-05-14,74.35,Entertainment
2024-05-21,175.11,Entertainment
2024-05-28,136.28,Snacks
2024-06-05,66.28,Snacks
2024-06-12,141.69,Snacks
2024-06-20,212.0,Entertainment
2024-06-27,226.01,Groceries
2024-07-05,71.37,Healthcare
2024-07-12,52.99,Rent
2024-07-20,36.11,Entertainment
2024-07-27,294.23,Utilities
2024-08-04,101.1,Healthcare
2024-08-11,297.51,Rent
2024-08-18,134.15,Rent
2024-08-26,272.13,Snacks
2024-09-02,42.42,Entertainment
2024-09-10,90.04,Snacks
2024-09-17,228.78,Snacks
2024-09-25,241.8,Healthcare
2024-10-02,95.36,Healthcare
2024-10-10,286.21,Snacks
2024-10-17,116.93,Snacks
2024-10-24,57.74,Groceries
2024-11-01,139.98,Utilities
2024-11-08,10.67,Groceries
2024-11-16,74.67,Snacks
2024-11-23,276.2,Entertainment
2024-12-01,173.23,Snacks
2024-12-08,38.65,Utilities
2024-12-16,142.93,Snacks
2024-12-23,90.89,Entertainment
2024-12-31,266.94,Snacks
