Date,Amount,Category
2024-01-01,2221.65,Freelance
2024-01-08,4135.33,Freelance
2024-01-15,1759.47,Bonus
2024-01-23,1680.69,Paycheck
2024-01-30,4284.85,Paycheck
2024-02-07,1426.27,Bonus
2024-02-14,3834.67,Bonus
2024-02-22,388.08,Paycheck
2024-02-29,1883.32,Bonus
2024-03-08,1496.65,Paycheck
2024-03-15,3751.69,Bonus
2024-03-22,443.3,Paycheck
2024-03-30,648.81,Freelance
2024-04-06,2708.63,Freelance
2024-04-14,1664.71,Paycheck
2024-04-21,1627.07,Paycheck
2024-04-29,436.6,Paycheck
2024-05-06,4621.55,Bonus
2024-05-14,3196.19,Freelance
2024-05-21,3582.92,Paycheck
2024-05-28,1412.39,Paycheck
2024-06-05,4871.28,Paycheck
2024-06-12,900.06,Bonus
2024-06-20,3398.75,Freelance
2024-06-27,1877.6,Paycheck
2024-07-05,3489.56,Freelance
2024-07-12,192.75,Freelance
2024-07-20,3354.49,Paycheck
2024-07-27,1300.96,Bonus
2024-08-04,3226.21,Bonus
2024-08-11,2078.15,Freelance
2024-08-18,3846.35,Paycheck
2024-08-26,3052.62,Bonus
2024-09-02,1586.69,Bonus
2024-09-10,2425.93,Bonus
2024-09-17,1421.27,Bonus
2024-09-25,1995.4,Bonus
2024-10-02,3532.53,Paycheck
2024-10-10,4399.59,Freelance
2024-10-17,532.69,Paycheck
2024-10-24,644.54,Paycheck
2024-11-01,1245.96,Bonus
2024-11-08,2979.19,Freelance
2024-11-16,2565.51,Paycheck
2024-11-23,3742.61,Paycheck
2024-12-01,686.19,Freelance
2024-12-08,1022.91,Paycheck
2024-12-16,289.71,Paycheck
2024-12-23,189.63,Paycheck
2024-12-31,4847.19,Bonus
