Date,Amount,Category
2024-01-01,1440.54,Bonus
2024-01-08,4573.35,Bonus
2024-01-15,1442.9,Freelance
2024-01-23,4994.39,Freelance
2024-01-30,707.81,Paycheck
2024-02-07,1550.51,Paycheck
2024-02-14,2765.4,Freelance
2024-02-22,2834.48,Freelance
2024-02-29,2016.87,Bonus
2024-03-08,660.02,Bonus
2024-03-15,2979.86,Paycheck
2024-03-22,347.86,Paycheck
2024-03-30,2523.52,Paycheck
2024-04-06,152.9,Bonus
2024-04-14,2200.04,Bonus
2024-04-21,3249.16,Bonus
2024-04-29,1302.1,Bonus
2024-05-06,389.62,Paycheck
2024-05-14,891.33,Bonus
2024-05-21,919.0,Freelance
2024-05-28,4125.4,Paycheck
2024-06-05,1331.07,Bonus
2024-06-12,3999.77,Paycheck
2024-06-20,3759.79,Paycheck
2024-06-27,496.51,Bonus
2024-07-05,3196.49,Paycheck
2024-07-12,686.11,Paycheck
2024-07-20,3859.38,Bonus
2024-07-27,4983.67,Freelance
2024-08-04,4490.72,Freelance
2024-08-11,4794.34,Bonus
2024-08-18,515.07,Freelance
2024-08-26,109.89,Freelance
2024-09-02,3746.33,Freelance
2024-09-10,2642.19,Bonus
2024-09-17,3443.2,Paycheck
2024-09-25,4164.32,Freelance
2024-10-02,3841.26,Paycheck
2024-10-10,1416.26,Freelance
2024-10-17,2157.69,Paycheck
2024-10-24,4967.93,Paycheck
2024-11-01,2258.55,Paycheck
2024-11-08,829.77,Freelance
2024-11-16,3281.18,Bonus
2024-11-23,1084.93,Freelance
2024-12-01,1616.36,Freelance
2024-12-08,1998.83,Paycheck
2024-12-16,4151.05,Paycheck
2024-12-23,441.15,Bonus
2024-12-31,732.14,Freelance
