Date,Amount,Category
2024-01-01,1117.19,Bonus
2024-01-08,2238.76,Freelance
2024-01-15,3833.63,Paycheck
2024-01-23,1146.59,Paycheck
2024-01-30,3526.18,Paycheck
2024-02-07,1017.39,Paycheck
2024-02-14,1360.59,Freelance
2024-02-22,1830.42,Freelance
2024-02-29,1707.74,Bonus
2024-03-08,1025.88,Bonus
2024-03-15,4162.37,Paycheck
2024-03-22,1984.56,Freelance
2024-03-30,2830.74,Freelance
2024-04-06,3814.29,Paycheck
2024-04-14,2941.33,Paycheck
2024-04-21,2888.75,Paycheck
2024-04-29,945.61,Paycheck
2024-05-06,4934.85,Bonus
2024-05-14,4395.35,Bonus
2024-05-21,1651.33,Freelance
2024-05-28,944.86,Paycheck
2024-06-05,1787.82,Bonus
2024-06-12,3898.69,Bonus
2024-06-20,2284.37,Freelance
2024-06-27,1196.34,Bonus
2024-07-05,2175.31,Freelance
2024-07-12,4595.51,Bonus
2024-07-20,3224.48,Freelance
2024-07-27,4415.71,Freelance
2024-08-04,3983.19,Paycheck
2024-08-11,1863.28,Bonus
2024-08-18,4537.68,Paycheck
2024-08-26,3668.09,Freelance
2024-09-02,3600.73,Bonus
2024-09-10,2456.69,Paycheck
2024-09-17,3082.42,Freelance
2024-09-25,1364.16,Freelance
2024-10-02,2675.89,Freelance
2024-10-10,306.51,Bonus
2024-10-17,1118.89,Freelance
2024-10-24,4671.3,Freelance
2024-11-01,3110.37,Paycheck
2024-11-08,4102.64,Paycheck
2024-11-16,1911.05,Bonus
2024-11-23,4336.6,Bonus
2024-12-01,3423.04,Bonus
2024-12-08,988.63,Bonus
2024-12-16,436.16,Bonus
2024-12-23,3060.52,Bonus
2024-12-31,4094.39,Freelance
